GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pizza-spring,pizza.spring.exception,PasDeCommandeSuivanteException,3,0,0,0,1,0,1,0,1,0
pizza-spring,pizza.spring.controleur,RapportControleur,21,0,0,0,5,0,3,0,3,0
pizza-spring,pizza.spring.controleur,Utf8WebFilter,11,0,0,0,4,0,2,0,2,0
pizza-spring,pizza.spring.controleur,CommandeControleur,45,0,2,0,9,0,5,0,4,0
pizza-spring,pizza.spring.controleur,AccueilControleur,5,0,0,0,2,0,2,0,2,0
pizza-spring,pizza.spring.controleur,PreparationControleur,32,0,0,0,9,0,4,0,4,0
pizza-spring,pizza.spring.modele,DetailCommande,24,0,0,0,10,0,7,0,7,0
pizza-spring,pizza.spring.modele,Categorie,17,0,0,0,7,0,5,0,5,0
pizza-spring,pizza.spring.modele,Pizza,41,0,0,0,17,0,12,0,12,0
pizza-spring,pizza.spring.modele,Ingredient,17,0,0,0,7,0,5,0,5,0
pizza-spring,pizza.spring.modele,RapportJournalier,21,0,0,0,8,0,4,0,4,0
pizza-spring,pizza.spring.modele,Fidelisation,15,0,0,0,6,0,3,0,3,0
pizza-spring,pizza.spring.modele,Commande,66,0,0,0,25,0,14,0,14,0
pizza-spring,pizza.spring.service,RapportService,11,0,0,0,3,0,3,0,3,0
pizza-spring,pizza.spring.service,PizzaService,7,0,0,0,2,0,2,0,2,0
pizza-spring,pizza.spring.service,CommandeService,71,0,2,0,18,0,7,0,6,0
pizza-spring,pizza.spring.service,CommandeDto,29,0,0,0,11,0,7,0,7,0
pizza-spring,pizza.spring.dao,CommandeDao,53,0,2,0,16,0,7,0,6,0
pizza-spring,pizza.spring.dao,RapportDao,41,0,0,0,12,0,3,0,3,0
pizza-spring,pizza.spring.dao,PizzaDao,17,0,0,0,4,0,3,0,3,0
